,product_id,material
0,EC-302-X125X-A-1-XC01X,Silicon
1,EC-215-X150X-A-0-XC71X,Silicon
2,EC-237-X015X-G-0-XE01X,Copper
3,EC-447-X100X-A-1-XC72X,Silicon
4,EC-447-X150X-A-1-XC72X,Silicon
5,EC-272-X040X-A-1-XB16X,Silicon
6,EC-201-X015X-A-1-XC00X,Silicon
7,EC-215-X250X-A-1-XC04X,Silicon
8,EC-216-X050X-A-1-XC00X,Silicon
9,EC-216-X065X-A-1-XC01X,Silicon
10,EC-216-X200X-A-1-XC04X,Silicon
11,EC-216-X300X-A-1-XC04X,Silicon
12,EC-215-X250X-A-1-XC71X,Silicon
13,EC-215-X080X-A-1-XC01X,Silicon
14,EC-215-X040X-F-1-XE01X,Aluminium
15,EC-287-X200X-A-1-XC31X,Silicon
16,EC-215-X065X-A-1-XC01X,Silicon
17,EC-215-X100X-A-1-XC01X,Silicon
18,EC-215-X015X-A-1-XC00X,Silicon
19,EC-215-X020X-A-1-XC00X,Silicon
20,EC-215-X050X-A-1-XC00X,Silicon
21,EC-215-X025X-A-1-XC00X,Silicon
22,EC-215-X032X-A-1-XC00X,Silicon
23,EC-201-X010X-A-1-XC00X,Silicon
24,EC-201-X020X-A-1-XC00X,Silicon
25,EC-201-X025X-A-1-XC00X,Silicon
26,EC-201-X032X-A-1-XC00X,Silicon
27,EC-201-X040X-A-1-XC00X,Silicon
28,EC-201-X050X-A-1-XC00X,Silicon
29,EC-215-X040X-A-1-XC00X,Silicon
30,EC-287-X020X-A-1-XC31X,Silicon
31,EC-287-X032X-A-1-XC31X,Silicon
32,EC-287-X040X-A-1-XC31X,Silicon
33,EC-287-X125X-A-1-XC31X,Silicon
34,EC-215-X150X-A-1-XC01X,Silicon
35,EC-216-X080X-A-1-XC01X,Silicon
36,EC-447-X065X-A-1-XC72X,Silicon
37,EC-447-X080X-A-1-XC72X,Silicon
38,EC-447-X125X-A-1-XC72X,Silicon
39,EC-302-X050X-A-1-XC06X,Silicon
40,EC-302-X065X-A-1-XC06X,Silicon
41,EC-302-X080X-A-2-XC06X,Silicon
42,EC-302-X150X-A-1-XC06X,Silicon
43,EC-302-X250X-A-1-XC06X,Silicon
44,EC-935-X300X-A-2-XB06X,Silicon
45,EC-216-X125X-A-1-XC01X,Silicon
46,EC-216-X150X-A-1-XC01X,Silicon
47,EC-821-X100X-D-0-XC43X,D
48,EC-302-X040X-A-1-XC06X,Silicon
49,EC-935-X100X-A-2-XB06X,Silicon
50,EC-935-X125X-A-2-XB06X,Silicon
51,EC-935-X150X-A-2-XB06X,Silicon
52,EC-935-X200X-A-2-XB06X,Silicon
53,EC-935-X250X-A-2-XB06X,Silicon
54,EC-287-X015X-A-1-XC31X,Silicon
55,EC-287-X025X-A-1-XC31X,Silicon
56,EC-287-X050X-A-1-XC31X,Silicon
57,EC-287-X065X-A-1-XC31X,Silicon
58,EC-287-X080X-A-1-XC31X,Silicon
59,EC-287-X100X-A-1-XC31X,Silicon
60,EC-287-X150X-A-1-XC31X,Silicon
61,EC-302-X050X-A-1-XC01X,Silicon
62,EC-302-X065X-A-1-XC01X,Silicon
63,EC-302-X080X-A-1-XC01X,Silicon
64,EC-302-X100X-A-1-XC01X,Silicon
65,EC-935-X065X-A-2-XB06X,Silicon
66,EC-215-X015X-F-1-XE01X,Aluminium
67,EC-215-X020X-F-3-XE01X,Aluminium
68,EC-215-X025X-F-2-XE01X,Aluminium
69,EC-216-X100X-A-1-XC01X,Silicon
70,EC-302-X300X-A-1-XC06X,Silicon
71,EC-935-X300X-A-1-XB06X,Silicon
72,EC-287-X200X-C-1-XC31X,Gold
73,EC-287-X065X-C-1-XC31X,Gold
74,EC-215-X050X-A-1-XC71X,Silicon
75,EC-215-X065X-A-1-XC71X,Silicon
76,EC-287-X125X-C-1-XC31X,Gold
77,EC-287-X080X-C-1-XC31X,Gold
78,EC-821-X200X-C-1-XC43X,Gold
79,EC-821-X065X-C-1-XC49X,Gold
80,EC-821-X080X-C-1-XC49X,Gold
81,EC-821-X150X-C-1-XC43X,Gold
